SYD|-33.9461|151.177|21.0|2016-08-21T02:05:37|Rain|7.89|1010.7|100
MEL|-37.6733|144.843|434.0|2016-08-21T02:05:37|Rain|6.02|962.2|100
PER|-31.9403|115.967|67.0|2016-08-21T02:05:37|Rain|8.90|1005.2|100
BOM|19.0887|72.8679|39.0|2016-08-21T02:05:37|Sunny|21.49|1008.6|84
MAA|12.99001|80.1693|52.0|2016-08-21T02:05:37|Rain|25.14|1007.0|100
GIG|-22.81|-43.2506|28.0|2016-08-21T02:05:37|Rain|16.66|1009.9|100
EZE|-34.8222|-58.5358|67.0|2016-08-21T02:05:37|Rain|7.94|1005.2|100
JFK|40.6398|-73.7789|13.0|2016-08-21T02:05:37|Sunny|26.04|1011.7|23
SFO|37.619|-122.375|13.0|2016-08-21T02:05:37|Rain|20.79|1011.7|100
YYZ|43.6772|-79.6306|569.0|2016-08-21T02:05:37|Sunny|22.41|946.7|44
LOS|6.57737|3.32116|135.0|2016-08-21T02:05:37|Sunny|23.81|997.1|76
CPT|-33.9648|18.6017|151.0|2016-08-21T02:05:37|Rain|6.95|995.2|100
BQH|51.3308|0.0325|598.0|2016-08-21T02:05:37|Sunny|19.83|943.4|37
AYT|36.8987|30.8005|177.0|2016-08-21T02:05:37|Sunny|30.67|992.2|38
HND|35.5523|139.78|35.0|2016-08-21T02:05:37|Rain|26.12|1009.1|100
DFW|32.8968|-97.038|607.0|2016-08-21T02:05:37|Sunny|31.56|942.4|47
AZA|33.3078|-111.655|1382.0|2016-08-21T02:05:37|Sunny|36.94|857.9|20
